原始识别文本,动词,量词,主体,项目词,分类,金额,收支
记一笔流连50元,记一笔,元,个人,榴莲,餐饮,50,支出
公司买水角30块,买,块,公司,水饺,餐饮,30,支出
交通会15元,-,元,个人,交通费,交通,15,支出
充话费100块,充,块,个人,话费,通讯,100,支出
发了工资5000元,发了,元,个人,工资,收入,5000,收入
公司报销打车费30元,报销,元,公司,打车,交通,30,收入
买了两斤水果蓝85块,买了,块,个人,水果篮,购物,85,支出
记一笔购物卷200元,记一笔,元,个人,购物券,购物,200,支出
吃饭花了45元,花了,元,个人,午餐,餐饮,45,支出
公司聚餐98元,-,元,公司,聚餐,餐饮,98,支出
加油300块,-,块,个人,加油,交通,300,支出
买药26元,买,元,个人,药品,医疗,26,支出
租房5000元,-,元,个人,房租,住房,5000,支出
还信用卡3000元,还,元,个人,信用卡还款,金融,3000,支出
公司买办公用品120元,买,元,公司,办公用品,办公,120,支出
收了红包200元,收了,元,个人,红包,收入,200,收入
买了菜35块,买了,块,个人,买菜,餐饮,35,支出
打车去公司25元,-,元,个人,打车,交通,25,支出
公司水电费500元,-,元,公司,水电费,办公,500,支出
喝了奶茶18块,喝了,块,个人,奶茶,餐饮,18,支出
买高铁票150元,买,元,个人,高铁票,交通,150,支出
公司快递费12元,-,元,公司,快递费,办公,12,支出
