原始长文本,断句序号,原始分句,动词,量词,主体,项目词,分类,金额,收支
今天早上吃一碗米粉20元去买了水果花了32元然后打了滴滴12元并且发人情红包200元还去药店买了一下感冒药12元对了还有工资5000元到账了,1,吃一碗米粉20元,吃,元,个人,米粉,餐饮,20,支出
今天早上吃一碗米粉20元去买了水果花了32元然后打了滴滴12元并且发人情红包200元还去药店买了一下感冒药12元对了还有工资5000元到账了,2,买了水果花了32元,买了,元,个人,水果,购物,32,支出
今天早上吃一碗米粉20元去买了水果花了32元然后打了滴滴12元并且发人情红包200元还去药店买了一下感冒药12元对了还有工资5000元到账了,3,打了滴滴12元,打了,元,个人,滴滴,交通,12,支出
今天早上吃一碗米粉20元去买了水果花了32元然后打了滴滴12元并且发人情红包200元还去药店买了一下感冒药12元对了还有工资5000元到账了,4,发人情红包200元,发,元,个人,红包,人情,200,支出
今天早上吃一碗米粉20元去买了水果花了32元然后打了滴滴12元并且发人情红包200元还去药店买了一下感冒药12元对了还有工资5000元到账了,5,买了感冒药12元,买,元,个人,感冒药,医疗,12,支出
今天早上吃一碗米粉20元去买了水果花了32元然后打了滴滴12元并且发人情红包200元还去药店买了一下感冒药12元对了还有工资5000元到账了,6,工资5000元到账,-,元,个人,工资,收入,5000,收入
昨天上班打车30元午饭吃碗面18元然后下班去超市采购花了150元回家买了个西瓜25元,1,打车30元,-,元,个人,打车,交通,30,支出
昨天上班打车30元午饭吃碗面18元然后下班去超市采购花了150元回家买了个西瓜25元,2,午饭吃碗面18元,吃,元,个人,面条,餐饮,18,支出
昨天上班打车30元午饭吃碗面18元然后下班去超市采购花了150元回家买了个西瓜25元,3,超市采购花了150元,花了,元,个人,超市采购,购物,150,支出
昨天上班打车30元午饭吃碗面18元然后下班去超市采购花了150元回家买了个西瓜25元,4,买了个西瓜25元,买,元,个人,西瓜,购物,25,支出
公司先买打印纸80元然后报销上次差旅费320元还有给客户买礼物150元,1,买打印纸80元,买,元,公司,打印纸,办公,80,支出
公司先买打印纸80元然后报销上次差旅费320元还有给客户买礼物150元,2,报销差旅费320元,报销,元,公司,差旅费,交通,320,收入
公司先买打印纸80元然后报销上次差旅费320元还有给客户买礼物150元,3,给客户买礼物150元,给,元,公司,礼物,人情,150,支出
晚餐二十元夜宵三十,1,晚餐二十元,-,元,个人,晚餐,餐饮,20,支出
晚餐二十元夜宵三十,2,夜宵三十,-,元,个人,夜宵,餐饮,30,支出
早餐十元午餐十五晚餐二十,1,早餐十元,-,元,个人,早餐,餐饮,10,支出
早餐十元午餐十五晚餐二十,2,午餐十五,-,元,个人,午餐,餐饮,15,支出
早餐十元午餐十五晚餐二十,3,晚餐二十,-,元,个人,晚餐,餐饮,20,支出
买菜30 打车20,1,买菜30,买,元,个人,买菜,餐饮,30,支出
买菜30 打车20,2,打车20,-,元,个人,打车,交通,20,支出
充话费一百交水费五十,1,充话费一百,充,元,个人,话费,通讯,100,支出
充话费一百交水费五十,2,交水费五十,交,元,个人,水费,住房,50,支出
午餐15元夜宵30,1,午餐15元,-,元,个人,午餐,餐饮,15,支出
午餐15元夜宵30,2,夜宵30,-,元,个人,夜宵,餐饮,30,支出
借给张三一百还给李四五十,1,借给张三一百,借给,元,张三,-,人情,100,支出
借给张三一百还给李四五十,2,还给李四五十,还给,元,李四,-,人情,50,支出
公司买纸五十个人吃饭三十,1,公司买纸五十,买,元,公司,办公用纸,办公,50,支出
公司买纸五十个人吃饭三十,2,个人吃饭三十,吃,元,个人,饭,餐饮,30,支出
